party_abbrev,party_name,partyfacts_id
ALP,Australian Labor Party,1383.0
LP,Liberal Party of Australia,1388.0
LIB,Liberal Party of Australia,1388.0
NATS,The Nationals,1387.0
NP,National Party of Australia,1387.0
CP,Australian Country Party,1387.0
AG,Australian Greens,1386.0
GRN,Australian Greens,1386.0
AD,Australian Democrats,1384.0
CLP,Country Liberal Party,143.0
LNP,Liberal National Party of Queensland,285.0
NatsWA,Nationals WA,
IND,Independent,
UAP,United Australia Party,1996.0
PHON,Pauline Hanson's One Nation,1162.0
JLN,Jacqui Lambie Network,
PRES,(Senate President — non-party role),
DPRES,(Senate Deputy President — non-party role),
KAP,Katter's Australian Party,1997.0
NXT,Nick Xenophon Team,5453.0
CA,Centre Alliance,5453.0
PUP,Palmer United Party,1996.0
AV,Australia's Voice,
DLP,Democratic Labor Party,1540.0
GWA,Australian Greens (WA),1209.0
LDP,Liberal Democratic Party,9149.0
FFP,Family First Party,1263.0
TG,The Greens,1209.0
AUS,Katter's Australia Party (pre-reg),1997.0
