unique_id,name_id,role,from_date,to_date,xml_name_pattern,state,party,display_name,full_name
ReidMargaret1935,VI4,PRESIDENT,1996-08-20,2002-08-18,The PRESIDENT,ACT,LP,Senator Reid,Senator the Hon. Margaret Reid
ReidMargaret1935,VI4,PRESIDENT,1996-08-20,2002-08-18,PRESIDENT (Senator Reid),ACT,LP,Senator Reid,Senator the Hon. Margaret Reid
Calvert1940,5F4,PRESIDENT,2002-08-19,2007-08-14,The PRESIDENT,TAS,LP,Senator Calvert,Senator the Hon. Paul Calvert
Ferguson1943,EP5,PRESIDENT,2007-08-14,2008-08-25,The PRESIDENT,SA,LP,Senator Ferguson,Senator the Hon. Alan Ferguson
Hogg1949,7L6,PRESIDENT,2008-08-26,2014-06-30,The PRESIDENT,QLD,ALP,Senator Hogg,Senator the Hon. John Hogg
Parry1960,E5V,PRESIDENT,2014-07-07,2017-11-02,The PRESIDENT,TAS,LP,Senator Parry,Senator the Hon. Stephen Parry
Ryan1973,I0Q,PRESIDENT,2017-11-13,2021-10-13,The PRESIDENT,VIC,LP,Senator Ryan,Senator the Hon. Scott Ryan
Brockman1970,30484,PRESIDENT,2021-10-18,2022-07-26,The PRESIDENT,WA,LP,Senator Brockman,Senator Slade Brockman
Lines1953,112096,PRESIDENT,2022-07-26,,The PRESIDENT,WA,ALP,Senator Lines,Senator the Hon. Sue Lines
Lines1953,112096,PRESIDENT,2022-07-26,,MADAM PRESIDENT,WA,ALP,Senator Lines,Senator the Hon. Sue Lines
West1947,1X4,DEPUTY_PRESIDENT,1997-05-06,2002-06-30,The DEPUTY PRESIDENT,NSW,ALP,Senator West,Senator Sue West
Hogg1949,7L6,DEPUTY_PRESIDENT,2002-08-19,2008-08-25,The DEPUTY PRESIDENT,QLD,ALP,Senator Hogg,Senator John Hogg
Ferguson1943,EP5,DEPUTY_PRESIDENT,2008-08-26,2011-06-30,The DEPUTY PRESIDENT,SA,LP,Senator Ferguson,Senator Alan Ferguson
Parry1960,E5V,DEPUTY_PRESIDENT,2011-07-04,2014-07-06,The DEPUTY PRESIDENT,TAS,LP,Senator Parry,Senator Stephen Parry
Marshall1960,00AOP,DEPUTY_PRESIDENT,2014-07-07,2016-05-09,The DEPUTY PRESIDENT,VIC,ALP,Senator Marshall,Senator Gavin Marshall
Lines1953,112096,DEPUTY_PRESIDENT,2016-09-30,2022-07-26,The DEPUTY PRESIDENT,WA,ALP,Senator Lines,Senator Sue Lines
McLachlan1966,,DEPUTY_PRESIDENT,2022-07-26,2025-07-22,The DEPUTY PRESIDENT,SA,LP,Senator McLachlan,Senator Andrew McLachlan
Brockman1970,30484,DEPUTY_PRESIDENT,2025-07-22,,The DEPUTY PRESIDENT,WA,LP,Senator Brockman,Senator Slade Brockman
,10000,PRESIDING_OFFICER,,,The PRESIDENT,,,,
,10000,PRESIDING_OFFICER,,,The DEPUTY PRESIDENT,,,,
,10000,PRESIDING_OFFICER,,,The ACTING PRESIDENT,,,,
,10000,PRESIDING_OFFICER,,,The ACTING DEPUTY PRESIDENT,,,,
,10000,PRESIDING_OFFICER,,,The CHAIR,,,,
,10000,PRESIDING_OFFICER,,,The TEMPORARY CHAIR OF COMMITTEES,,,,
,10000,PRESIDING_OFFICER,,,MADAM PRESIDENT,,,,
